chengyu,pinyin,english_definition,category,sub_category
走马看花,zǒu mǎ kàn huā,lit. flower viewing from horseback (idiom); fig. superficial understanding from cursory observation/to make a quick judgment based on inadequate information,动物名称成语 animal name idioms,【马horse】
信马由缰,xìn mǎ yóu jiāng,,动物名称成语 animal name idioms,【马horse】
蛛丝马迹,zhū sī mǎ jì,lit. spider's thread and horse track/tiny hints (of a secret)/traces/clue,动物名称成语 animal name idioms,【马horse】
兵荒马乱,bīng huāng mǎ luàn,soldiers munity and troops rebel (idiom); turmoil and chaos of war,动物名称成语 animal name idioms,【马horse】
万马奔腾,wàn mǎ bēn téng,lit. (like) ten thousand horses galloping (idiom)/fig. going full steam ahead,动物名称成语 animal name idioms,【马horse】
犬马之劳,quǎn mǎ zhī láo,lit. the service of a dog or a horse (idiom)/fig. faithful service,动物名称成语 animal name idioms,【马horse】
单枪匹马,dān qiāng pǐ mǎ,lit. single spear and horse (idiom); fig. single-handed/unaccompanied,动物名称成语 animal name idioms,【马horse】
招兵买马,zhāo bīng mǎi mǎ,lit. to recruit soldiers and buy horses (idiom)/fig. to raise an army; to recruit new staff,动物名称成语 animal name idioms,【马horse】
人仰马翻,rén yǎng mǎ fān,to suffer a crushing defeat (idiom)/in a pitiful state/in a complete mess/to roll (with laughter),动物名称成语 animal name idioms,【马horse】
人困马乏,rén kùn mǎ fá,riders tired and horses weary (idiom)/worn out/exhausted/spent/fatigued,动物名称成语 animal name idioms,【马horse】
鞍前马后,ān qián mǎ hòu,to follow everywhere/to always be there for sb at their beck and call,动物名称成语 animal name idioms,【马horse】
人强马壮,rén qiáng mǎ zhuàng,,动物名称成语 animal name idioms,【马horse】
猴年马月,hóu nián mǎ yuè,long time off/time that will never come,动物名称成语 animal name idioms,【马horse】
青梅竹马,qīng méi zhú mǎ,lit. green plums and hobby-horse (idiom)/fig. innocent children's games/childhood sweethearts/a couple who grew up as childhood friends,动物名称成语 animal name idioms,【马horse】
心猿意马,xīn yuán yì mǎ,"lit. heart like a frisky monkey, mind like a cantering horse (idiom); fig. capricious (derog.)/to have ants in one's pants/hyperactive/adventurous and uncontrollable",动物名称成语 animal name idioms,【马horse】
悬崖勒马,xuán yá lè mǎ,lit. to rein in the horse at the edge of the precipice (idiom)/fig. to act in the nick of time,动物名称成语 animal name idioms,【马horse】
千军万马,qiān jūn wàn mǎ,magnificent army with thousands of men and horses (idiom); impressive display of manpower/all the King's horses and all the King's men,动物名称成语 animal name idioms,【马horse】
香车宝马,xiāng chē bǎo mǎ,magnificent carriage and precious horses (idiom); rich family with extravagant lifestyle/ostentatious display of luxury,动物名称成语 animal name idioms,【马horse】
指鹿为马,zhǐ lù wéi mǎ,making a deer out to be a horse (idiom); deliberate misrepresentation,动物名称成语 animal name idioms,【马horse】
害群之马,hài qún zhī mǎ,lit. a horse that brings trouble to its herd (idiom)/fig. troublemaker/black sheep/rotten apple,动物名称成语 animal name idioms,【马horse】
厉兵秣马,lì bīng mò mǎ,,动物名称成语 animal name idioms,【马horse】
塞失马盲人瞎马,sāi shī mǎ máng rén xiā mǎ,,动物名称成语 animal name idioms,【马horse】
脱僵之马,tuō jiāng zhī mǎ,,动物名称成语 animal name idioms,【马horse】
金戈铁马,jīn gē tiě mǎ,very powerful army,动物名称成语 animal name idioms,【马horse】
羊质虎皮,yáng zhì hǔ pí,lit. the heart of a sheep in the skin of a tiger (idiom)/fig. impressive in appearance but lacking in substance/braggart,动物名称成语 animal name idioms,【马horse】
羊肠小道,yáng cháng xiǎo dào,road as twisty as sheep's intestine (idiom); narrow and winding road/fig. complicated and tricky job,动物名称成语 animal name idioms,【马horse】
羊入虎口,yáng rù hǔ kǒu,lit. a lamb in a tiger's den (idiom)/fig. to tread dangerous ground,动物名称成语 animal name idioms,【羊sheep】
亡羊补牢,wáng yáng bǔ láo,lit. to mend the pen after sheep are lost (idiom)/fig. to act belatedly/better late than never/to lock the stable door after the horse has bolted,动物名称成语 animal name idioms,【羊sheep】
虎入羊群,hǔ rù yáng qún,,动物名称成语 animal name idioms,【羊sheep】
顺手牵羊,shùn shǒu qiān yáng,lit. to lead away a goat while passing by (idiom)/fig. to opportunistically pocket sb's possessions and walk off,动物名称成语 animal name idioms,【羊sheep】
猴年马月,hóu nián mǎ yuè,long time off/time that will never come,动物名称成语 animal name idioms,【羊sheep】
沐猴而冠,mù hóu ér guàn,lit. a monkey wearing a hat (idiom)/fig. worthless person in imposing attire,动物名称成语 animal name idioms,【羊sheep】
尖嘴猴腮,jiān zuǐ hóu sāi,,动物名称成语 animal name idioms,【猴monkey】
杀鸡吓猴,shā jī xià hóu,lit. killing the chicken to scare the monkey (idiom); to punish an individual as an example to others/pour encourager les autres,动物名称成语 animal name idioms,【猴monkey】
杀鸡儆猴,shā jī jǐng hóu,lit. killing the chicken to warn the monkey (idiom)/fig. to punish an individual as an example to others/pour encourager les autres,动物名称成语 animal name idioms,【猴monkey】
鸡毛蒜皮,jī máo suàn pí,lit. chicken feathers and garlic skins (idiom)/fig. trivial (matter),动物名称成语 animal name idioms,【猴monkey】
鸡鸣狗盗,jī míng gǒu dào,crowing like a cock and stealing like a dog (idiom)/bag of tricks/useful talents,动物名称成语 animal name idioms,【猴monkey】
鸡飞蛋打,jī fēi dàn dǎ,the chicken has flown the coop and the eggs are broken/a dead loss (idiom),动物名称成语 animal name idioms,【鸡Chicken】
鸡犬不宁,jī quǎn bù níng,lit. not even the chickens and dogs are left undisturbed (idiom)/fig. great commotion/pandemonium,动物名称成语 animal name idioms,【鸡Chicken】
鸡犬不留,jī quǎn bù liú,,动物名称成语 animal name idioms,【鸡Chicken】
鸡犬升天,jī quǎn shēng tiān,"lit. poultry and dogs rise to Heaven (idiom)/fig. to ride on sb else's success/Once one man gets a government position, all his cronies get in too/Once sb has cracked the problem, every Tom, Dick and Harry can do it",动物名称成语 animal name idioms,【鸡Chicken】
闻鸡起舞,wén jī qǐ wǔ,to start practicing at the first crow of the cock (idiom)/to be diligent in one's studies,动物名称成语 animal name idioms,【鸡Chicken】
杀鸡吓猴,shā jī xià hóu,lit. killing the chicken to scare the monkey (idiom); to punish an individual as an example to others/pour encourager les autres,动物名称成语 animal name idioms,【鸡Chicken】
杀鸡取卵,shā jī qǔ luǎn,lit. to kill the chicken to get the eggs (idiom)/fig. to kill the goose that lays the golden eggs,动物名称成语 animal name idioms,【鸡Chicken】
偷鸡摸狗,tōu jī mō gǒu,to imitate the dog and steal chicken (idiom)/to pilfer/to dally with women/to have affairs,动物名称成语 animal name idioms,【鸡Chicken】
鹤立鸡群,hè lì jī qún,a crane in a flock of chicken (idiom); way above the common/manifestly superior,动物名称成语 animal name idioms,【鸡Chicken】
小肚鸡肠,xiǎo dù jī cháng,"lit. small belly, chicken's gut (idiom); narrow-minded/petty",动物名称成语 animal name idioms,【鸡Chicken】
鼠肚鸡肠,shǔ dù jī cháng,small-minded,动物名称成语 animal name idioms,【鸡Chicken】
呆若木鸡,dāi ruò mù jī,lit. dumb as a wooden chicken (idiom); fig. dumbstruck,动物名称成语 animal name idioms,【鸡Chicken】
狗急跳墙,gǒu jí tiào qiáng,a cornered dog will jump over the wall (idiom)/to be driven to desperate action,动物名称成语 animal name idioms,【鸡Chicken】
狗尾续貂,gǒu wěi xù diāo,lit. to use a dog's tail as a substitute for sable fur (idiom)/fig. a worthless sequel to a masterpiece,动物名称成语 animal name idioms,【鸡Chicken】
狗仗人势,gǒu zhàng rén shì,a dog threatens based on master's power (idiom); to use one's position to bully others,动物名称成语 animal name idioms,【狗dog】
狗血喷头,gǒu xuè pēn tóu,torrent of abuse (idiom),动物名称成语 animal name idioms,【狗dog】
犬马之劳,quǎn mǎ zhī láo,lit. the service of a dog or a horse (idiom)/fig. faithful service,动物名称成语 animal name idioms,【狗dog】
猪狗不如,zhū gǒu bù rú,worse than a dog or pig/lower than low,动物名称成语 animal name idioms,【狗dog】
兔死狗烹,tù sǐ gǒu pēng,lit. to boil the hound once it caught the rabbit (idiom)/fig. to get rid of sb once he has served his purpose,动物名称成语 animal name idioms,【狗dog】
鼠窃狗盗,shǔ qiè gǒu dào,,动物名称成语 animal name idioms,【狗dog】
狼心狗肺,láng xīn gǒu fèi,lit. heart of wolf and lungs of dog (idiom)/cruel and unscrupulous,动物名称成语 animal name idioms,【狗dog】
狐朋狗友,hú péng gǒu yǒu,a pack of rogues (idiom); a gang of scoundrels,动物名称成语 animal name idioms,【狗dog】
狐群狗党,hú qún gǒu dǎng,"a skulk of foxes, a pack of dogs (idiom)/a gang of rogues",动物名称成语 animal name idioms,【狗dog】
偷鸡摸狗,tōu jī mō gǒu,to imitate the dog and steal chicken (idiom)/to pilfer/to dally with women/to have affairs,动物名称成语 animal name idioms,【狗dog】
画虎类狗,huà hǔ lèi gǒu,,动物名称成语 animal name idioms,【狗dog】
鸡犬不惊,jī quǎn bù jīng,,动物名称成语 animal name idioms,【狗dog】
鸡零狗碎,jī líng gǒu suì,in pieces,动物名称成语 animal name idioms,【狗dog】
猪突豨勇,zhū tū xī yǒng,,动物名称成语 animal name idioms,【狗dog】
杀猪宰羊,shā zhū zǎi yáng,to kill the pigs and slaughter the sheep (idiom),动物名称成语 animal name idioms,【猪pig】
封豕长蛇,fēng shǐ cháng shé,,动物名称成语 animal name idioms,【猪pig】
凤头猪肚,fèng tóu zhū dǔ,,动物名称成语 animal name idioms,【猪pig】
蠢笨如猪,chǔn bèn rú zhū,,动物名称成语 animal name idioms,【猪pig】
鸟尽弓藏,niǎo jìn gōng cáng,"lit. the birds are over, the bow is put away (idiom); fig. to get rid of sb once he has served his purpose",动物名称成语 animal name idioms,【猪pig】
笨鸟先飞,bèn niǎo xiān fēi,lit. the clumsy bird flies early (idiom); fig. to work hard to compensate for one's limited abilities,动物名称成语 animal name idioms,【猪pig】
如鸟兽散,rú niǎo shòu sàn,lit. to scatter like birds and beasts (idiom)/fig. to flee in all directions,动物名称成语 animal name idioms,【鸟Bird】
小鸟依人,xiǎo niǎo yī rén,lit. like a little bird relying on people (idiom)/fig. cute and helpless-looking,动物名称成语 animal name idioms,【鸟Bird】
惊弓之鸟,jīng gōng zhī niǎo,"lit. a bird startled by the mere twang of a bow (idiom)/fig. sb who frightens easily, due to past experiences",动物名称成语 animal name idioms,【鸟Bird】
飞禽走兽,fēi qín zǒu shòu,birds and animals/the beasts of the field and the birds of the air,动物名称成语 animal name idioms,【鸟Bird】
凤毛麟角,fèng máo lín jiǎo,lit. as rare as phoenix feathers and unicorn horns (idiom)/fig. few and far between,动物名称成语 animal name idioms,【鸟Bird】
鸦雀无声,yā què wú shēng,lit. crow and peacock make no sound/absolute silence (idiom); not a single voice can be heard/absolute silence,动物名称成语 animal name idioms,【鸟Bird】
燕雀安知,yàn què ān zhī,,动物名称成语 animal name idioms,【鸟Bird】
鹤立鸡群,hè lì jī qún,a crane in a flock of chicken (idiom); way above the common/manifestly superior,动物名称成语 animal name idioms,【鸟Bird】
鹤发童颜,hè fà tóng yán,,动物名称成语 animal name idioms,【鸟Bird】
风声鹤唳,fēng shēng hè lì,lit. wind sighing and crane calling (idiom)/fig. to panic at the slightest move/to be jittery,动物名称成语 animal name idioms,【鸟Bird】
莺歌燕舞,yīng gē yàn wǔ,the warbler sings and the swallow dances/prosperity abounds (idiom),动物名称成语 animal name idioms,【鸟Bird】
草长莺飞,cǎo zhǎng yīng fēi,,动物名称成语 animal name idioms,【鸟Bird】
珍禽异兽,zhēn qín yì shòu,,动物名称成语 animal name idioms,【鸟Bird】
衣冠禽兽,yī guān qín shòu,lit. dressed up animal (idiom)/fig. immoral and despicable person,动物名称成语 animal name idioms,【鸟Bird】
燕语莺声,yàn yǔ yīng shēng,,动物名称成语 animal name idioms,【鸟Bird】
鹊巢鸠占,què cháo jiū zhàn,"the magpie made a nest, the turtledove dwells in it (idiom)/to reap where one has not sown",动物名称成语 animal name idioms,【鸟Bird】
